what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389005717617
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1389005720339
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389005721764
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389005722052
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1389005725467
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389005728109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389005729158
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389005732515
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389005743250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389005785234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389005875755
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389005890361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389005931388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389005934697
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389005947398
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389005950201
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389005950201
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389005951559
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389006001373
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389006002845
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389006383496
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389006386306
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389006387192
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389006392350
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1389006393438
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389006393568
executed,command,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.openFileSearchPage",1389006393580
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389006393868
error,log,,,"Problems encountered during text search.",1389006422780
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389006432447
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389006433898
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389006969723
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1389006972243
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1389006979336
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1389006979375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389006980714
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1389006980735
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389006980982
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389006989322
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389006994428
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389007013597
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007020824
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007024176
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007029799
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389007033210
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007036847
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007044611
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007046410
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389007047093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007057600
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389007060978
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007064135
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007069996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007070981
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389007072040
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007082576
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007085571
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389007090437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007092061
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389007092453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007094995
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389007096134
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007096744
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389007097795
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007099472
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007108195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007109436
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389007109906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007112998
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389007115881
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007130923
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007321744
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1389007329072
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1389007330106
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389007339648
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1389007339648
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1389007341072
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007345901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389007402903
