what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380574413587
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1380574472104
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380574477516
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380574735876
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380574742432
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380574997934
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1380575017659
closed,editor,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare.CompareEditor",1380575017659
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380575019845
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380646689361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380646693110
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380646695813
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1380646695857
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1380646703153
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1380646703426
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1380646710103
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1380646710341
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1380646710408
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380646761582
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380646893575
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380646896429
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380646901398
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380646902401
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380646911969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380646914248
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380646946853
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380646948424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380646950173
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380646953159
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380646977262
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1380646977509
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1380646978811
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1380646979783
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380646981583
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380646983440
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380646998499
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380647005671
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1380647005883
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1380647008677
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1380647009610
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380647012149
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380647019230
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1380647019551
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1380647020947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380647022070
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380647024231
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1380647024249
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1380647024317
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380647024568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380647033209
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1380647033241
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380647034058
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380647035341
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1380647039720
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380647066048
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380647080657
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1380647080688
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380647096533
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380647098596
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1380647098623
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380647099751
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380647100778
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1380647101716
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380647102782
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380647109138
