what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.adt,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.adt",1395076372372
started,bundle,com.android.ide.eclipse.base,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.base",1395076372372
started,bundle,com.android.ide.eclipse.ddms,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.ddms",1395076372372
started,bundle,com.questoid.sqlitebrowser,1.2.0,"com.questoid.sqlitebrowser",1395076372372
os,sysinfo,,,"win32",1395076372374
arch,sysinfo,,,"x86",1395076372374
ws,sysinfo,,,"win32",1395076372374
locale,sysinfo,,,"ru_RU",1395076372374
processors,sysinfo,,,"4",1395076372374
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1395076372374
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1395076372374
java.specification.name,sysinfo,,,"Java Platform API Specification",1395076372374
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1395076372374
java.specification.version,sysinfo,,,"1.6",1395076372374
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1395076372374
java.version,sysinfo,,,"1.6.0_25",1395076372374
java.vm.info,sysinfo,,,"mixed mode, sharing",1395076372374
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1395076372374
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1395076372374
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1395076372374
java.vm.specification.version,sysinfo,,,"1.0",1395076372374
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1395076372374
java.vm.version,sysinfo,,,"20.0-b11",1395076372374
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1395076372375
started,bundle,org.eclipse.cdt.make.core,7.1.1.201109151620,"org.eclipse.cdt.make.core",1395076372425
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.1.201109151620,"org.eclipse.cdt.managedbuilder.core",1395076372456
started,bundle,org.eclipse.cdt.core,5.3.1.201109151620,"org.eclipse.cdt.core",1395076372737
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1395076372784
started,bundle,com.android.ide.eclipse.traceview,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.traceview",1395076372818
started,bundle,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui",1395076372832
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201109151620,"org.eclipse.cdt.codan.core.cxx",1395076372839
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201109151620,"org.eclipse.cdt.codan.core",1395076372840
started,bundle,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui",1395076372840
started,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers",1395076372848
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395076372883
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1395076374307
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1395076374329
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1395076374329
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1395076374414
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1395076376565
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1395076376598
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1395076376691
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1395076377186
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1395076377188
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1395076377241
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1395076377268
opened,editor,com.android.ide.eclipse.adt,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1395076377323
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1395076378748
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1395076378814
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1395076380996
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1395076383356
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395076389347
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395076389378
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395076392787
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1395076420151
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1395076420151
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1395076429869
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1395076431418
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1395076431821
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1395076431823
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201109151620,"org.eclipse.cdt.debug.core",1395076431895
started,bundle,org.eclipse.cdt.debug.ui,7.1.1.201109151620,"org.eclipse.cdt.debug.ui",1395076431900
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395076432427
error,log,,,"D:\\Lesha)\\android-sdk\\platform-tools\\dx.jar does not exist or is not a file",1395076566552
error,log,,,"Unknown error: Unable to build: the file dx.jar was not loaded from the SDK folder!",1395076566553
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395076566758
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1395076597699
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1395076653384
error,log,,,"D:\\Lesha)\\android-sdk\\platform-tools\\dx.jar does not exist or is not a file",1395076654505
error,log,,,"Unknown error: Unable to build: the file dx.jar was not loaded from the SDK folder!",1395076654506
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395076654661
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395076656813
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1395076659996
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1395076664277
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1395076664344
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395076673809
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395076675372
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395076681358
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395076684392
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1395076698843
error,log,,,"D:\\Lesha)\\android-sdk\\platform-tools\\dx.jar does not exist or is not a file",1395076701247
error,log,,,"Unknown error: Unable to build: the file dx.jar was not loaded from the SDK folder!",1395076701247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395076701501
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395076705110
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1395076706469
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1395076709607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395076710806
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395076736395
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395076739508
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395076743348
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1395076751359
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1395076751362
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.update",1395076751379
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20110510,"org.eclipse.equinox.p2.transport.ecf",1395076751778
