what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373573003226
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373573164819
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1373573168616
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1373573172969
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1373573176738
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1373573182215
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1373573196617
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1373573217027
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1373573219650
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1373573224293
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1373573246527
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373573247860
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373573249519
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373573249930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373573260174
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1373573260272
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373573260856
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373573283292
error,log,,,"locations_list_row.xml: Failed to parse file F:\\Sencha\\DietHelperPlus\\res\\drawable\\message_button_xml.xml",1373573286876
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1373573286991
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1373573287045
error,log,,,"locations_list_row.xml: Failed to parse file F:\\Sencha\\DietHelperPlus\\res\\drawable\\message_button_xml.xml",1373573307877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1373573307932
error,log,,,"locations_list_row.xml: Failed to parse file F:\\Sencha\\DietHelperPlus\\res\\drawable\\message_button_xml.xml",1373573308718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1373573308762
error,log,,,"locations_list_row.xml: Failed to parse file F:\\Sencha\\DietHelperPlus\\res\\drawable\\message_button_xml.xml",1373573309377
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1373573309473
error,log,,,"locations_list_row.xml: Failed to parse file F:\\Sencha\\DietHelperPlus\\res\\drawable\\message_button_xml.xml",1373573310573
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1373573310613
error,log,,,"locations_list_row.xml: Failed to parse file F:\\Sencha\\DietHelperPlus\\res\\drawable\\message_button_xml.xml",1373573313555
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1373573313593
error,log,,,"locations_list_row.xml: Failed to parse file F:\\Sencha\\DietHelperPlus\\res\\drawable\\message_button_xml.xml",1373573314501
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1373573314543
error,log,,,"locations_list_row.xml: Failed to parse file F:\\Sencha\\DietHelperPlus\\res\\drawable\\message_button_xml.xml",1373573315573
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1373573315617
error,log,,,"locations_list_row.xml: Failed to parse file F:\\Sencha\\DietHelperPlus\\res\\drawable\\message_button_xml.xml",1373573316529
