what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367151434981
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367151492505
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1367151493853
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367151496093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367151498215
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367151506834
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367151508916
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367151510531
closed,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1367151510531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1367151517378
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367151517993
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367151518096
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367151521061
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367151521257
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367151530451
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367151548808
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367151549878
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367151593668
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367151595299
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1367151599232
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367151608433
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367151608501
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1367151652178
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367151674082
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367151674142
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367151675502
