what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391091550674
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391091645226
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1391091648509
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391091649776
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391091650015
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1391091682573
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391091684079
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391091684288
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1391091694142
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1391091697982
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1391091726880
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391091733001
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1391091737049
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391091738330
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391091738594
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1391091744243
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391091754113
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391091754113
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1391091756477
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1391091761483
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391091761773
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391091786423
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391091797462
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391091811912
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391091821616
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391091821678
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1391091825989
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1391091832192
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1391091833834
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1391091837157
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1391091839702
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1391091839911
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1391091840172
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391091842684
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391091843033
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1391091864097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391091870036
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391091904848
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1391091908413
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391091910621
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391091910685
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1391091915256
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391091919861
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092000887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092001913
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092078638
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1391092078650
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1391092099153
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391092099377
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1391092100621
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092101414
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092193035
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1391092195198
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092199768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092207791
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092209962
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092280005
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391092282788
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1391092283350
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092290401
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092290673
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1391092295744
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1391092298529
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391092304660
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092307211
error,log,,,"Unable to execute dex: Multiple dex files define Lau/com/bytecode/opencsv/CSVParser;",1391092309168
error,log,,,"Unable to execute dex: Multiple dex files define Lau/com/bytecode/opencsv/CSVParser;",1391092312235
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092317500
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1391092317525
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1391092327138
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092328169
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092335745
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092337101
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092409883
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092412316
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092459065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092459826
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092489471
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1391092495919
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092498345
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092618193
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1391092618207
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1391092621501
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1391092634385
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092635339
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092637542
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1391092637554
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391092638455
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092639332
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391092639879
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092642462
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1391092642469
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1391092646399
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092648105
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092682149
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391092686769
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092687826
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391092688742
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092690958
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1391092690966
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1391092703609
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1391092710623
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092718877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391092719984
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1391092721118
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092721259
executed,command,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.openFileSearchPage",1391092721271
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092721568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092809580
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1391092809594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092811538
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092812903
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1391092815265
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1391092819368
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092827012
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092861996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092864302
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092871991
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391092884385
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391092885824
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391092886328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391092886364
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391092886402
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391092886435
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391092886480
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391092886515
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391092886560
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391092886594
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391092886645
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391092886701
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391092886736
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391092886760
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391092886800
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391092886844
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1391092894958
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391092905701
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092907404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391092908353
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391092908412
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391092908412
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391092914783
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391092914784
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391092915297
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391092916474
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391092916999
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391092917560
closed,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1391092918053
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391092918521
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391092918521
